DATE,USEPUINDXD
2012-12-23,242.39000
2012-12-24,236.44000
2012-12-25,151.10000
2012-12-26,231.81000
2012-12-27,350.12000
2012-12-28,251.11000
2012-12-29,346.49000
2012-12-30,321.81000
2012-12-31,249.99000
2013-01-01,548.47000
2013-01-02,329.02000
2013-01-03,366.82000
2013-01-04,287.90000
2013-01-05,272.15000
2013-01-06,353.90000
2013-01-07,242.97000
2013-01-08,113.90000
2013-01-09,101.68000
2013-01-10,96.78000
2013-01-11,196.09000
2013-01-12,85.22000
2013-01-13,159.23000
2013-01-14,170.10000
2013-01-15,133.24000
2013-01-16,188.22000
2013-01-17,131.98000
2013-01-18,247.95000
2013-01-19,346.93000
2013-01-20,170.57000
2013-01-21,332.22000
2013-01-22,150.73000
2013-01-23,168.82000
2013-01-24,166.64000
2013-01-25,174.97000
2013-01-26,127.03000
2013-01-27,135.84000
2013-01-28,103.21000
2013-01-29,140.52000
2013-01-30,154.76000
2013-01-31,126.24000
2013-02-01,124.41000
2013-02-02,157.19000
2013-02-03,243.55000
2013-02-04,154.01000
2013-02-05,108.14000
2013-02-06,112.99000
2013-02-07,91.62000
2013-02-08,72.22000
2013-02-09,66.61000
2013-02-10,87.64000
2013-02-11,75.91000
2013-02-12,106.26000
2013-02-13,112.16000
2013-02-14,94.18000
2013-02-15,164.94000
2013-02-16,131.23000
2013-02-17,184.96000
2013-02-18,136.77000
2013-02-19,72.63000
2013-02-20,95.67000
2013-02-21,153.96000
2013-02-22,134.46000
2013-02-23,122.93000
2013-02-24,237.51000
2013-02-25,267.23000
2013-02-26,335.75000
2013-02-27,186.20000
2013-02-28,234.74000
2013-03-01,324.04000
2013-03-02,202.86000
2013-03-03,122.32000
2013-03-04,160.70000
2013-03-05,144.85000
2013-03-06,172.55000
2013-03-07,100.39000
2013-03-08,95.85000
2013-03-09,233.70000
2013-03-10,136.13000
2013-03-11,117.47000
2013-03-12,111.62000
2013-03-13,122.09000
2013-03-14,58.06000
2013-03-15,104.12000
2013-03-16,77.03000
2013-03-17,148.54000
2013-03-18,115.79000
2013-03-19,130.57000
2013-03-20,144.81000
2013-03-21,156.20000
2013-03-22,105.79000
2013-03-23,109.54000
2013-03-24,126.08000
2013-03-25,178.57000
2013-03-26,163.29000
2013-03-27,177.06000
2013-03-28,72.92000
2013-03-29,90.71000
2013-03-30,115.02000
2013-03-31,154.03000
2013-04-01,104.12000
2013-04-02,86.12000
2013-04-03,85.68000
2013-04-04,101.29000
2013-04-05,104.65000
2013-04-06,138.62000
2013-04-07,123.55000
2013-04-08,64.04000
2013-04-09,68.93000
2013-04-10,145.88000
2013-04-11,55.27000
2013-04-12,42.73000
2013-04-13,84.41000
2013-04-14,114.58000
2013-04-15,138.99000
2013-04-16,27.22000
2013-04-17,86.66000
2013-04-18,51.21000
2013-04-19,57.50000
2013-04-20,83.67000
2013-04-21,106.18000
2013-04-22,64.71000
2013-04-23,111.75000
2013-04-24,126.26000
2013-04-25,44.58000
2013-04-26,92.18000
2013-04-27,59.83000
2013-04-28,115.63000
2013-04-29,107.23000
2013-04-30,81.56000
2013-05-01,74.13000
2013-05-02,101.98000
2013-05-03,104.35000
2013-05-04,91.00000
2013-05-05,103.25000
2013-05-06,68.88000
2013-05-07,110.22000
2013-05-08,60.31000
2013-05-09,30.12000
2013-05-10,65.03000
2013-05-11,95.81000
2013-05-12,100.52000
2013-05-13,51.80000
2013-05-14,166.99000
2013-05-15,60.66000
