DATE,A939RX0Q048SBEA
1947-01-01,13513
1947-04-01,13437
1947-07-01,13362
1947-10-01,13510
1948-01-01,13649
1948-04-01,13816
1948-07-01,13834
1948-10-01,13784
1949-01-01,13537
1949-04-01,13438
1949-07-01,13528
1949-10-01,13346
1950-01-01,13819
1950-04-01,14186
1950-07-01,14670
1950-10-01,14886
1951-01-01,15029
1951-04-01,15229
1951-07-01,15472
1951-10-01,15433
1952-01-01,15532
1952-04-01,15503
1952-07-01,15548
1952-10-01,15985
1953-01-01,16221
1953-04-01,16287
1953-07-01,16122
1953-10-01,15803
1954-01-01,15664
1954-04-01,15617
1954-07-01,15722
1954-10-01,15951
1955-01-01,16338
1955-04-01,16537
1955-07-01,16684
1955-10-01,16703
1956-01-01,16568
1956-04-01,16637
1956-07-01,16546
1956-10-01,16733
1957-01-01,16770
1957-04-01,16664
1957-07-01,16751
1957-10-01,16505
1958-01-01,16016
1958-04-01,16060
1958-07-01,16360
1958-10-01,16666
1959-01-01,16908
1959-04-01,17253
1959-07-01,17146
1959-10-01,17138
1960-01-01,17380
1960-04-01,17253
1960-07-01,17223
1960-10-01,16938
1961-01-01,16986
1961-04-01,17236
1961-07-01,17450
1961-10-01,17728
1962-01-01,17983
1962-04-01,18113
1962-07-01,18215
1962-10-01,18212
1963-01-01,18354
1963-04-01,18534
1963-07-01,18823
1963-10-01,18885
1964-01-01,19233
1964-04-01,19401
1964-07-01,19593
1964-10-01,19593
1965-01-01,20021
1965-04-01,20240
1965-07-01,20582
1965-10-01,20999
1966-01-01,21464
1966-04-01,21496
1966-07-01,21583
1966-10-01,21701
1967-01-01,21847
1967-04-01,21812
1967-07-01,21939
1967-10-01,22053
1968-01-01,22454
1968-04-01,22781
1968-07-01,22883
1968-10-01,22923
1969-01-01,23231
1969-04-01,23252
1969-07-01,23332
1969-10-01,23162
1970-01-01,23064
1970-04-01,23033
1970-07-01,23159
1970-10-01,22841
1971-01-01,23381
1971-04-01,23447
1971-07-01,23557
1971-10-01,23554
1972-01-01,23919
1972-04-01,24415
1972-07-01,24576
1972-10-01,24918
1973-01-01,25477
1973-04-01,25708
1973-07-01,25505
1973-10-01,25680
1974-01-01,25415
1974-04-01,25427
1974-07-01,25117
1974-10-01,24952
1975-01-01,24601
1975-04-01,24731
1975-07-01,25065
1975-10-01,25338
1976-01-01,25854
1976-04-01,25994
1976-07-01,26059
1976-10-01,26186
1977-01-01,26429
1977-04-01,26883
1977-07-01,27282
1977-10-01,27207
1978-01-01,27238
1978-04-01,28225
1978-07-01,28418
1978-10-01,28715
1979-01-01,28699
1979-04-01,28659
1979-07-01,28778
1979-10-01,28763
1980-01-01,28775
1980-04-01,28113
1980-07-01,27987
1980-10-01,28428
1981-01-01,28957
1981-04-01,28681
1981-07-01,28931
1981-10-01,28519
1982-01-01,27982
1982-04-01,28073
1982-07-01,27900
1982-10-01,27859
1983-01-01,28167
1983-04-01,28750
1983-07-01,29241
1983-10-01,29774
1984-01-01,30307
1984-04-01,30777
1984-07-01,31005
1984-10-01,31176
1985-01-01,31428
1985-04-01,31649
1985-07-01,32058
1985-10-01,32218
1986-01-01,32453
1986-04-01,32533
1986-07-01,32779
1986-10-01,32870
1987-01-01,33036
1987-04-01,33336
1987-07-01,33556
1987-10-01,34025
1988-01-01,34148
1988-04-01,34528
1988-07-01,34637
1988-10-01,35008
1989-01-01,35291
1989-04-01,35488
1989-07-01,35654
1989-10-01,35633
1990-01-01,35941
1990-04-01,35968
1990-07-01,35850
1990-10-01,35419
1991-01-01,35145
1991-04-01,35305
1991-07-01,35348
1991-10-01,35381
1992-01-01,35694
1992-04-01,35968
1992-07-01,36184
1992-10-01,36420
1993-01-01,36381
1993-04-01,36486
1993-07-01,36539
1993-10-01,36909
1994-01-01,37171
1994-04-01,37569
1994-07-01,37669
1994-10-01,37980
1995-01-01,38008
1995-04-01,38033
1995-07-01,38235
1995-10-01,38389
1996-01-01,38544
1996-04-01,39106
1996-07-01,39340
1996-10-01,39629
1997-01-01,39825
1997-04-01,40311
1997-07-01,40689
1997-10-01,40877
1998-01-01,41176
1998-04-01,41461
1998-07-01,41873
1998-10-01,42432
1999-01-01,42663
1999-04-01,42897
1999-07-01,43299
1999-10-01,43919
2000-01-01,43935
2000-04-01,44654
2000-07-01,44586
2000-10-01,44721
2001-01-01,44492
2001-04-01,44623
2001-07-01,44366
2001-10-01,44376
2002-01-01,44687
2002-04-01,44834
2002-07-01,44938
2002-10-01,44857
2003-01-01,44996
2003-04-01,45312
2003-07-01,45957
2003-10-01,46384
2004-01-01,46560
2004-04-01,46799
2004-07-01,47107
2004-10-01,47396
2005-01-01,47800
2005-04-01,47947
2005-07-01,48228
2005-10-01,48381
2006-01-01,48856
2006-04-01,48891
2006-07-01,48809
2006-10-01,49065
2007-01-01,48987
2007-04-01,49251
2007-07-01,49455
2007-10-01,49506
2008-01-01,49060
2008-04-01,49196
2008-07-01,48841
2008-10-01,47697
2009-01-01,46941
2009-04-01,46781
2009-07-01,46826
2009-10-01,47170
2010-01-01,47280
2010-04-01,47649
2010-07-01,47873
2010-10-01,48077
2011-01-01,47811
2011-04-01,48077
2011-07-01,48082
2011-10-01,48529
2012-01-01,48771
2012-04-01,48917
2012-07-01,48881
2012-10-01,48797
2013-01-01,49066
2013-04-01,49084
2013-07-01,49366
2013-10-01,49749
2014-01-01,49552
2014-04-01,50027
2014-07-01,50565
2014-10-01,50717
2015-01-01,51041
2015-04-01,51305
2015-07-01,51414
2015-10-01,51381
2016-01-01,51377
2016-04-01,51580
2016-07-01,51836
2016-10-01,51966
2017-01-01,52048
2017-04-01,52358
2017-07-01,52685.0
