DATE,T10YIEM
2003-01-01,1.76
2003-02-01,1.91
2003-03-01,1.87
2003-04-01,1.78
2003-05-01,1.66
2003-06-01,1.61
2003-07-01,1.87
2003-08-01,2.13
2003-09-01,2.08
2003-10-01,2.21
2003-11-01,2.34
2003-12-01,2.29
2004-01-01,2.26
2004-02-01,2.32
2004-03-01,2.36
2004-04-01,2.45
2004-05-01,2.63
2004-06-01,2.58
2004-07-01,2.48
2004-08-01,2.42
2004-09-01,2.33
2004-10-01,2.37
2004-11-01,2.51
2004-12-01,2.56
2005-01-01,2.50
2005-02-01,2.54
2005-03-01,2.71
2005-04-01,2.63
2005-05-01,2.49
2005-06-01,2.33
2005-07-01,2.30
2005-08-01,2.37
2005-09-01,2.50
2005-10-01,2.52
2005-11-01,2.48
2005-12-01,2.35
2006-01-01,2.41
2006-02-01,2.52
2006-03-01,2.52
2006-04-01,2.58
2006-05-01,2.66
2006-06-01,2.58
2006-07-01,2.58
2006-08-01,2.59
2006-09-01,2.40
2006-10-01,2.32
2006-11-01,2.31
2006-12-01,2.31
2007-01-01,2.32
2007-02-01,2.36
2007-03-01,2.38
2007-04-01,2.43
2007-05-01,2.38
2007-06-01,2.41
2007-07-01,2.36
2007-08-01,2.23
2007-09-01,2.26
2007-10-01,2.33
2007-11-01,2.38
2007-12-01,2.31
2008-01-01,2.27
2008-02-01,2.33
2008-03-01,2.42
2008-04-01,2.32
2008-05-01,2.42
2008-06-01,2.47
2008-07-01,2.44
2008-08-01,2.21
2008-09-01,1.84
2008-10-01,1.06
2008-11-01,0.64
2008-12-01,0.25
2009-01-01,0.61
2009-02-01,1.12
2009-03-01,1.11
2009-04-01,1.36
2009-05-01,1.57
2009-06-01,1.86
2009-07-01,1.74
2009-08-01,1.82
2009-09-01,1.76
2009-10-01,1.91
2009-11-01,2.12
2009-12-01,2.23
2010-01-01,2.36
2010-02-01,2.27
2010-03-01,2.22
2010-04-01,2.35
2010-05-01,2.11
2010-06-01,1.94
2010-07-01,1.77
2010-08-01,1.68
2010-09-01,1.74
2010-10-01,2.01
2010-11-01,2.09
2010-12-01,2.25
2011-01-01,2.33
2011-02-01,2.34
2011-03-01,2.45
2011-04-01,2.60
2011-05-01,2.39
2011-06-01,2.24
2011-07-01,2.38
2011-08-01,2.16
2011-09-01,1.90
2011-10-01,1.96
2011-11-01,2.01
2011-12-01,2.01
2012-01-01,2.08
2012-02-01,2.22
2012-03-01,2.31
2012-04-01,2.26
2012-05-01,2.14
2012-06-01,2.12
2012-07-01,2.13
2012-08-01,2.27
2012-09-01,2.43
2012-10-01,2.50
2012-11-01,2.42
2012-12-01,2.48
2013-01-01,2.52
2013-02-01,2.55
2013-03-01,2.55
2013-04-01,2.41
2013-05-01,2.29
2013-06-01,2.05
2013-07-01,2.12
2013-08-01,2.19
2013-09-01,2.15
2013-10-01,2.19
2013-11-01,2.17
2013-12-01,2.16
2014-01-01,2.23
2014-02-01,2.16
2014-03-01,2.16
2014-04-01,2.17
2014-05-01,2.19
2014-06-01,2.23
2014-07-01,2.26
2014-08-01,2.20
2014-09-01,2.07
2014-10-01,1.92
2014-11-01,1.88
2014-12-01,1.70
2015-01-01,1.61
2015-02-01,1.72
2015-03-01,1.76
2015-04-01,1.86
2015-05-01,1.87
2015-06-01,1.86
2015-07-01,1.82
2015-08-01,1.61
2015-09-01,1.52
2015-10-01,1.50
2015-11-01,1.57
2015-12-01,1.51
2016-01-01,1.42
2016-02-01,1.31
2016-03-01,1.55
2016-04-01,1.62
2016-05-01,1.60
2016-06-01,1.47
2016-07-01,1.46
2016-08-01,1.47
2016-09-01,1.51
2016-10-01,1.66
2016-11-01,1.82
2016-12-01,1.93
2017-01-01,2.01
2017-02-01,2.02
2017-03-01,1.99
2017-04-01,1.91
2017-05-01,1.83
2017-06-01,1.73
2017-07-01,1.77
2017-08-01,1.78
2017-09-01,1.83
2017-10-01,1.86
2017-11-01,1.85
2017-12-01,1.9
