DATE,MEDCPIM094SFRBCLE
1982-12-01,100.00000
1983-01-01,100.40858
1983-02-01,100.81386
1983-03-01,101.11242
1983-04-01,101.51050
1983-05-01,101.82381
1983-06-01,102.02868
1983-07-01,102.33786
1983-08-01,102.74639
1983-09-01,103.15170
1983-10-01,103.54807
1983-11-01,103.96020
1983-12-01,104.26929
1984-01-01,104.68183
1984-02-01,105.07760
1984-03-01,105.41511
1984-04-01,105.80028
1984-05-01,106.09526
1984-06-01,106.48858
1984-07-01,106.89776
1984-08-01,107.30694
1984-09-01,107.69929
1984-10-01,108.00818
1984-11-01,108.24016
1984-12-01,108.55268
1985-01-01,108.82700
1985-02-01,109.32256
1985-03-01,109.74304
1985-04-01,110.14576
1985-05-01,110.44481
1985-06-01,110.88926
1985-07-01,111.11148
1985-08-01,111.42685
1985-09-01,111.74221
1985-10-01,112.05966
1985-11-01,112.55115
1985-12-01,112.83632
1986-01-01,113.24404
1986-02-01,113.53895
1986-03-01,113.94590
1986-04-01,114.33446
1986-05-01,114.54600
1986-06-01,114.86507
1986-07-01,115.24291
1986-08-01,115.55354
1986-09-01,115.93197
1986-10-01,116.32739
1986-11-01,116.76471
1986-12-01,117.14015
1987-01-01,117.65079
1987-02-01,117.97313
1987-03-01,118.34026
1987-04-01,118.79718
1987-05-01,119.23434
1987-06-01,119.51568
1987-07-01,119.92498
1987-08-01,120.25115
1987-09-01,120.76285
1987-10-01,121.13730
1987-11-01,121.46797
1987-12-01,121.75178
1988-01-01,122.08347
1988-02-01,122.37553
1988-03-01,122.81732
1988-04-01,123.29197
1988-05-01,123.63732
1988-06-01,124.10878
1988-07-01,124.57188
1988-08-01,125.10651
1988-09-01,125.61715
1988-10-01,126.05589
1988-11-01,126.36234
1988-12-01,126.77095
1989-01-01,127.25520
1989-02-01,127.79488
1989-03-01,128.31906
1989-04-01,128.82947
1989-05-01,129.39410
1989-06-01,129.80261
1989-07-01,130.41537
1989-08-01,130.72176
1989-09-01,131.09418
1989-10-01,131.64593
1989-11-01,132.09410
1989-12-01,132.50211
1990-01-01,133.06474
1990-02-01,133.60491
1990-03-01,134.17588
1990-04-01,134.75609
1990-05-01,135.19362
1990-06-01,135.81189
1990-07-01,136.39791
1990-08-01,137.02575
1990-09-01,137.34331
1990-10-01,137.85388
1990-11-01,138.26233
1990-12-01,138.83178
1991-01-01,139.45951
1991-02-01,139.95580
1991-03-01,140.37514
1991-04-01,140.76371
1991-05-01,141.27744
1991-06-01,141.61463
1991-07-01,142.12846
1991-08-01,142.48934
1991-09-01,142.96330
1991-10-01,143.23859
1991-11-01,143.74107
1991-12-01,144.05424
1992-01-01,144.26061
1992-02-01,144.56821
1992-03-01,145.01672
1992-04-01,145.30695
1992-05-01,145.64200
1992-06-01,146.15258
1992-07-01,146.36744
1992-08-01,146.62321
1992-09-01,146.84913
1992-10-01,147.30433
1992-11-01,147.70055
1992-12-01,147.92974
1993-01-01,148.34761
1993-02-01,148.62858
1993-03-01,148.83761
1993-04-01,149.33641
1993-05-01,149.70175
1993-06-01,150.01603
1993-07-01,150.22555
1993-08-01,150.53853
1993-09-01,150.82824
1993-10-01,151.28556
1993-11-01,151.73650
1993-12-01,152.08827
1994-01-01,152.42776
1994-02-01,152.87838
1994-03-01,153.15269
1994-04-01,153.47000
1994-05-01,153.83627
1994-06-01,154.20254
1994-07-01,154.46598
1994-08-01,154.91176
1994-09-01,155.38738
1994-10-01,155.67200
1994-11-01,156.23061
1994-12-01,156.38806
1995-01-01,156.92342
1995-02-01,157.35335
1995-03-01,157.77515
1995-04-01,158.24828
1995-05-01,158.71020
1995-06-01,158.98524
1995-07-01,159.38156
1995-08-01,159.76718
1995-09-01,160.19528
1995-10-01,160.61983
1995-11-01,160.97281
1995-12-01,161.31483
