DATE,NROU
1949-01-01,5.26
1949-04-01,5.26
1949-07-01,5.25
1949-10-01,5.25
1950-01-01,5.26
1950-04-01,5.26
1950-07-01,5.27
1950-10-01,5.28
1951-01-01,5.29
1951-04-01,5.31
1951-07-01,5.33
1951-10-01,5.34
1952-01-01,5.36
1952-04-01,5.37
1952-07-01,5.38
1952-10-01,5.38
1953-01-01,5.37
1953-04-01,5.37
1953-07-01,5.37
1953-10-01,5.37
1954-01-01,5.37
1954-04-01,5.37
1954-07-01,5.37
1954-10-01,5.37
1955-01-01,5.37
1955-04-01,5.38
1955-07-01,5.38
1955-10-01,5.39
1956-01-01,5.40
1956-04-01,5.41
1956-07-01,5.41
1956-10-01,5.41
1957-01-01,5.40
1957-04-01,5.40
1957-07-01,5.40
1957-10-01,5.40
1958-01-01,5.40
1958-04-01,5.40
1958-07-01,5.40
1958-10-01,5.40
1959-01-01,5.41
1959-04-01,5.42
1959-07-01,5.43
1959-10-01,5.45
1960-01-01,5.48
1960-04-01,5.49
1960-07-01,5.51
1960-10-01,5.51
1961-01-01,5.51
1961-04-01,5.51
1961-07-01,5.51
1961-10-01,5.51
1962-01-01,5.50
1962-04-01,5.50
1962-07-01,5.51
1962-10-01,5.51
1963-01-01,5.53
1963-04-01,5.54
1963-07-01,5.55
1963-10-01,5.56
1964-01-01,5.57
1964-04-01,5.59
1964-07-01,5.60
1964-10-01,5.62
1965-01-01,5.64
1965-04-01,5.66
1965-07-01,5.69
1965-10-01,5.71
1966-01-01,5.74
1966-04-01,5.76
1966-07-01,5.78
1966-10-01,5.78
1967-01-01,5.78
1967-04-01,5.78
1967-07-01,5.78
1967-10-01,5.78
1968-01-01,5.78
1968-04-01,5.79
1968-07-01,5.80
1968-10-01,5.81
1969-01-01,5.82
1969-04-01,5.84
1969-07-01,5.85
1969-10-01,5.86
1970-01-01,5.88
1970-04-01,5.89
1970-07-01,5.90
1970-10-01,5.91
1971-01-01,5.92
1971-04-01,5.93
1971-07-01,5.95
1971-10-01,5.97
1972-01-01,6.00
1972-04-01,6.02
1972-07-01,6.05
1972-10-01,6.07
1973-01-01,6.10
1973-04-01,6.12
1973-07-01,6.14
1973-10-01,6.15
1974-01-01,6.16
1974-04-01,6.17
1974-07-01,6.17
1974-10-01,6.17
1975-01-01,6.17
1975-04-01,6.17
1975-07-01,6.17
1975-10-01,6.18
1976-01-01,6.19
1976-04-01,6.20
1976-07-01,6.21
1976-10-01,6.21
1977-01-01,6.22
1977-04-01,6.23
1977-07-01,6.24
1977-10-01,6.25
1978-01-01,6.26
1978-04-01,6.27
1978-07-01,6.27
1978-10-01,6.27
1979-01-01,6.26
1979-04-01,6.26
1979-07-01,6.25
1979-10-01,6.24
1980-01-01,6.23
1980-04-01,6.22
1980-07-01,6.21
1980-10-01,6.20
1981-01-01,6.19
1981-04-01,6.17
1981-07-01,6.16
1981-10-01,6.15
1982-01-01,6.13
1982-04-01,6.12
1982-07-01,6.11
1982-10-01,6.10
1983-01-01,6.09
1983-04-01,6.08
1983-07-01,6.07
1983-10-01,6.06
1984-01-01,6.05
1984-04-01,6.05
