DATE,PPIACO
2008-10-01,186.4
2008-11-01,176.8
2008-12-01,170.9
2009-01-01,171.2
2009-02-01,169.3
2009-03-01,168.1
2009-04-01,169.1
2009-05-01,170.8
2009-06-01,174.1
2009-07-01,172.5
2009-08-01,175.0
2009-09-01,174.1
2009-10-01,175.2
2009-11-01,177.4
2009-12-01,178.1
2010-01-01,181.9
2010-02-01,181.0
2010-03-01,183.3
2010-04-01,184.4
2010-05-01,184.8
2010-06-01,183.5
2010-07-01,184.1
2010-08-01,184.9
2010-09-01,184.9
2010-10-01,186.6
2010-11-01,187.7
2010-12-01,189.7
2011-01-01,192.7
2011-02-01,195.8
2011-03-01,199.2
2011-04-01,203.1
2011-05-01,204.1
2011-06-01,203.9
2011-07-01,204.6
2011-08-01,203.2
2011-09-01,203.7
2011-10-01,201.1
2011-11-01,201.4
2011-12-01,199.8
2012-01-01,200.7
2012-02-01,201.6
2012-03-01,204.2
2012-04-01,203.7
2012-05-01,201.9
2012-06-01,199.8
2012-07-01,200.1
2012-08-01,202.7
2012-09-01,204.4
2012-10-01,203.5
2012-11-01,201.8
2012-12-01,201.5
2013-01-01,202.5
2013-02-01,204.3
2013-03-01,204.0
2013-04-01,203.5
2013-05-01,204.1
2013-06-01,204.3
2013-07-01,204.4
2013-08-01,204.2
2013-09-01,203.9
2013-10-01,202.5
2013-11-01,201.2
2013-12-01,202.0
2014-01-01,203.8
2014-02-01,205.7
2014-03-01,207.0
2014-04-01,208.3
2014-05-01,208.0
2014-06-01,208.3
2014-07-01,208.0
2014-08-01,207.0
2014-09-01,206.4
2014-10-01,203.4
2014-11-01,200.9
2014-12-01,197.0
2015-01-01,192.0
2015-02-01,191.1
2015-03-01,191.5
2015-04-01,190.9
2015-05-01,193.4
2015-06-01,194.8
2015-07-01,193.9
2015-08-01,191.9
2015-09-01,189.1
2015-10-01,187.5
2015-11-01,185.7
2015-12-01,183.5
2016-01-01,182.6
2016-02-01,181.3
2016-03-01,182.1
2016-04-01,183.2
2016-05-01,185.3
2016-06-01,187.6
2016-07-01,187.7
2016-08-01,186.6
2016-09-01,186.9
2016-10-01,186.7
2016-11-01,186.3
2016-12-01,188.2
2017-01-01,190.7
2017-02-01,191.6
2017-03-01,191.5
2017-04-01,193.0
2017-05-01,192.8
2017-06-01,193.6
2017-07-01,193.5
2017-08-01,193.7
